Index,Buy_90,Notrade_135,Notrade_180,Sell_225,SL1,Buy_270,Notrade_315,Notrade_360,Sell_45,SL2
319,406726,407045,407364,407683,407842.5,408002,408321,408641.0,408961.0,409121.0
320,409281,409601,409921,410241,410401.0,410561,410881,411202.0,411523.0,411683.5
321,411844,412165,412486,412807,412967.5,413128,413449,413771.0,414093.0,414254.0
322,414415,414737,415059,415381,415542.0,415703,416025,416348.0,416671.0,416832.5
323,416994,417317,417640,417963,418124.5,418286,418609,418933.0,419257.0,419419.0
324,419581,419905,420229,420553,420715.0,420877,421201,421526.0,421851.0,422013.5
325,422176,422501,422826,423151,423313.5,423476,423801,424127.0,424453.0,424616.0
326,424779,425105,425431,425757,425920.0,426083,426409,426736.0,427063.0,427226.5
327,427390,427717,428044,428371,428534.5,428698,429025,429353.0,429681.0,429845.0
328,430009,430337,430665,430993,431157.0,431321,431649,431978.0,432307.0,432471.5
329,432636,432965,433294,433623,433787.5,433952,434281,434611.0,434941.0,435106.0
330,435271,435601,435931,436261,436426.0,436591,436921,437252.0,437583.0,437748.5
331,437914,438245,438576,438907,439072.5,439238,439569,439901.0,440233.0,440399.0
332,440565,440897,441229,441561,441727.0,441893,442225,442558.0,442891.0,443057.5
333,443224,443557,443890,444223,444389.5,444556,444889,445223.0,445557.0,445724.0
334,445891,446225,446559,446893,447060.0,447227,447561,447896.0,448231.0,448398.5
335,448566,448901,449236,449571,449738.5,449906,450241,450577.0,450913.0,451081.0
336,451249,451585,451921,452257,452425.0,452593,452929,453266.0,453603.0,453771.5
337,453940,454277,454614,454951,455119.5,455288,455625,455963.0,456301.0,456470.0
338,456639,456977,457315,457653,457822.0,457991,458329,458668.0,459007.0,459176.5
339,459346,459685,460024,460363,460532.5,460702,461041,461381.0,461721.0,461891.0
340,462061,462401,462741,463081,463251.0,463421,463761,464102.0,464443.0,464613.5
341,464784,465125,465466,465807,465977.5,466148,466489,466831.0,467173.0,467344.0
342,467515,467857,468199,468541,468712.0,468883,469225,469568.0,469911.0,470082.5
343,470254,470597,470940,471283,471454.5,471626,471969,472313.0,472657.0,472829.0
344,473001,473345,473689,474033,474205.0,474377,474721,475066.0,475411.0,475583.5
345,475756,476101,476446,476791,476963.5,477136,477481,477827.0,478173.0,478346.0
