Index,Buy_0,Notrade_45,Notrade_90,Sell_135,SL1,Buy_180,Notrade_225,Notrade_270,Sell_315,SL2
280,312761,313041,313321,313601,313741.0,313881,314161,314441,314721,314861.5
281,315002,315283,315564,315845,315985.5,316126,316407,316688,316969,317110.0
282,317251,317533,317815,318097,318238.0,318379,318661,318943,319225,319366.5
283,319508,319791,320074,320357,320498.5,320640,320923,321206,321489,321631.0
284,321773,322057,322341,322625,322767.0,322909,323193,323477,323761,323903.5
285,324046,324331,324616,324901,325043.5,325186,325471,325756,326041,326184.0
286,326327,326613,326899,327185,327328.0,327471,327757,328043,328329,328472.5
287,328616,328903,329190,329477,329620.5,329764,330051,330338,330625,330769.0
288,330913,331201,331489,331777,331921.0,332065,332353,332641,332929,333073.5
289,333218,333507,333796,334085,334229.5,334374,334663,334952,335241,335386.0
290,335531,335821,336111,336401,336546.0,336691,336981,337271,337561,337706.5
291,337852,338143,338434,338725,338870.5,339016,339307,339598,339889,340035.0
292,340181,340473,340765,341057,341203.0,341349,341641,341933,342225,342371.5
293,342518,342811,343104,343397,343543.5,343690,343983,344276,344569,344716.0
294,344863,345157,345451,345745,345892.0,346039,346333,346627,346921,347068.5
295,347216,347511,347806,348101,348248.5,348396,348691,348986,349281,349429.0
296,349577,349873,350169,350465,350613.0,350761,351057,351353,351649,351797.5
297,351946,352243,352540,352837,352985.5,353134,353431,353728,354025,354174.0
298,354323,354621,354919,355217,355366.0,355515,355813,356111,356409,356558.5
299,356708,357007,357306,357605,357754.5,357904,358203,358502,358801,358951.0
300,359101,359401,359701,360001,360151.0,360301,360601,360901,361201,361351.5
301,361502,361803,362104,362405,362555.5,362706,363007,363308,363609,363760.0
302,363911,364213,364515,364817,364968.0,365119,365421,365723,366025,366176.5
303,366328,366631,366934,367237,367388.5,367540,367843,368146,368449,368601.0
304,368753,369057,369361,369665,369817.0,369969,370273,370577,370881,371033.5
305,371186,371491,371796,372101,372253.5,372406,372711,373016,373321,373474.0
306,373627,373933,374239,374545,374698.0,374851,375157,375463,375769,375922.5
307,376076,376383,376690,376997,377150.5,377304,377611,377918,378225,378379.0
308,378533,378841,379149,379457,379611.0,379765,380073,380381,380689,380843.5
309,380998,381307,381616,381925,382079.5,382234,382543,382852,383161,383316.0
310,383471,383781,384091,384401,384556.0,384711,385021,385331,385641,385796.5
311,385952,386263,386574,386885,387040.5,387196,387507,387818,388129,388285.0
